id;standort;anzahl_ladepunkte;ladesaeule_status;adresse;koordinaten;typ;ladepunkt;stecker;status;authmethod_1;authmethod_2;the_geom;coordinate_reference_system
APP_STROMNETZ_EMOBILITY_8556423;451;2;teilweise belegt;Lutterothstraße 19;N53.579920 E9.954871;;+49 8003006070;;unbekannt;unbekannt;;POINT (563218.953500 5937208.924029);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556424;451;2;teilweise belegt;Lutterothstraße 19;N53.579920 E9.954871;;+49 8003006070;;unbekannt;unbekannt;;POINT (563218.953500 5937208.924029);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556425;452;2;teilweise belegt;Am Irrgarten 8;N53.460230 E9.971790;;+49 8003006070;;unbekannt;unbekannt;;POINT (564520.680226 5923908.945622);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556426;452;2;teilweise belegt;Am Irrgarten 8;N53.460230 E9.971790;;+49 8003006070;;unbekannt;unbekannt;;POINT (564520.680226 5923908.945622);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556427;453;2;frei;Habermannstraße 31;N53.502665 E10.210397;;+49 8003006070;;unbekannt;unbekannt;;POINT (580281.894507 5928871.971046);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556428;453;2;frei;Habermannstraße 31;N53.502665 E10.210397;;+49 8003006070;;unbekannt;unbekannt;;POINT (580281.894507 5928871.971046);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556429;454;2;teilweise belegt;Henriette-Herz-Ring 30;N53.482541 E10.176065;;+49 8003006070;;unbekannt;unbekannt;;POINT (578041.793804 5926595.166561);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556430;454;2;teilweise belegt;Henriette-Herz-Ring 30;N53.482541 E10.176065;;+49 8003006070;;unbekannt;unbekannt;;POINT (578041.793804 5926595.166561);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556431;455;2;frei;Blankeneser Bahnhofstraße 4;N53.558728 E9.811395;;+49 8003006070;;unbekannt;unbekannt;;POINT (553746.934267 5934733.506918);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556432;455;2;frei;Blankeneser Bahnhofstraße 4;N53.558728 E9.811395;;+49 8003006070;;unbekannt;unbekannt;;POINT (553746.934267 5934733.506918);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556433;456;2;belegt;Faberstraße 23;N53.575334 E9.944263;;+49 8003006070;;unbekannt;unbekannt;;POINT (562523.416863 5936689.373159);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556434;456;2;belegt;Faberstraße 23;N53.575334 E9.944263;;+49 8003006070;;unbekannt;unbekannt;;POINT (562523.416863 5936689.373159);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556435;457;2;frei;Goldtschmidtstraße 5;N53.459150 E9.985390;;+49 8003006070;;unbekannt;unbekannt;;POINT (565425.268436 5923801.192008);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556436;457;2;frei;Goldtschmidtstraße 5;N53.459150 E9.985390;;+49 8003006070;;unbekannt;unbekannt;;POINT (565425.268436 5923801.192008);EPSG:25832
APP_STROMNETZ_EMOBILITY_8556437;458;2;frei;August-Bebel-Straße 73;N53.484565 E10.226995;;+49 8003006070;;unbekannt;unbekannt;;POINT (581417.404172 5926877.288111);EPSG:25832
