betreiber_id,betreiber
2186,Hotel Am Kaisersaal Bachmann & Söhne GbR
629,Staehle Grundstücksverwaltungs-GmbH
2737,Stadtwerke Trostberg Stromversorgung GmbH
4393,Stadt Weilheim an der Teck - Eigenbetrieb Stadtwerke
816,Blomberger Versorgungsbetriebe GmbH
3577,Heidenheimer Zeitung Gmbh & Co KG
3088,IGW Ingenieurgesellschaft für Wasserkraftanlagen mbH
132,Stadtwerke Dreieich GmbH
4405,Gerhard Spiegler Photovoltaikanlagen
2187,Radisson Blu Erfurt Hotel Kosmos Erfurt Betriebs GmbH
2866,Windor GmbH
26,IONITY GmbH
866,Energie- und Wasserversorgung Kirchzarten GmbH
2241,Werraenergie GmbH
2582,Stadtwerke Dorfen GmbH
2560,Max Salmannsberger GmbH
3572,Spurwechsel GmbH
2222,Stadtwerke Neustadt an der Orla
4250,PEM-energy GmbH
